Note,seconds,offset,duration,measure,Tie,Ghost,NoteValue
E#,112.05882352941163,2.5,<music21.duration.Duration 0.5>,48,,False,0.5
F#,112.35294117647045,3.0,<music21.duration.Duration 0.25>,48,,False,0.25
A,112.49999999999986,3.25,<music21.duration.Duration 0.25>,48,,False,0.25
C#,112.64705882352926,3.5,<music21.duration.Duration 0.25>,48,,False,0.25
C#,112.79411764705867,3.75,<music21.duration.Duration 0.25>,48,,False,0.25
B,112.94117647058808,0.0,<music21.duration.Duration 0.75>,49,,False,0.75
D#,113.38235294117631,0.75,<music21.duration.Duration 0.25>,49,<music21.tie.Tie start>,False,0.25
D#,113.67647058823512,1.25,<music21.duration.Duration 0.25>,49,,False,0.25
D#,113.82352941176453,1.5,<music21.duration.Duration 0.25>,49,,False,0.25
E,113.97058823529393,1.75,<music21.duration.Duration 0.25>,49,<music21.tie.Tie start>,False,0.25
E,114.26470588235274,2.25,<music21.duration.Duration 0.5>,49,,False,0.5
F#,114.70588235294098,3.0,<music21.duration.Duration 0.5>,49,,False,0.5
A,114.9999999999998,3.5,<music21.duration.Duration 0.5>,49,,False,0.5
B,115.29411764705863,0.0,<music21.duration.Duration 0.25>,50,,False,0.25
A,115.44117647058803,0.25,<music21.duration.Duration 0.25>,50,,False,0.25
F#,115.58823529411744,0.5,<music21.duration.Duration 0.5>,50,,False,0.5
B,115.88235294117626,1.0,<music21.duration.Duration 0.25>,50,,False,0.25
A,116.02941176470567,1.25,<music21.duration.Duration 0.25>,50,,False,0.25
F#,116.17647058823508,1.5,<music21.duration.Duration 0.5>,50,,False,0.5
B,116.4705882352939,2.0,<music21.duration.Duration 0.25>,50,,False,0.25
A,116.61764705882331,2.25,<music21.duration.Duration 0.25>,50,,False,0.25
F#,116.76470588235271,2.5,<music21.duration.Duration 0.5>,50,,False,0.5
B,117.05882352941154,3.0,<music21.duration.Duration 0.25>,50,,False,0.25
C#,117.20588235294095,3.25,<music21.duration.Duration 0.25>,50,,False,0.25
E,117.35294117647035,3.5,<music21.duration.Duration 0.25>,50,,False,0.25
C#,117.49999999999976,3.75,<music21.duration.Duration 0.25>,50,,False,0.25
E,117.64705882352916,0.0,<music21.duration.Duration 0.5>,51,,False,0.5
E,117.94117647058799,0.5,<music21.duration.Duration 0.5>,51,,False,0.5
E,118.23529411764682,1.0,<music21.duration.Duration 0.75>,51,,False,0.75
B,118.67647058823505,1.75,<music21.duration.Duration 0.25>,51,<music21.tie.Tie start>,False,0.25
C#,119.11764705882328,2.5,<music21.duration.Duration 0.5>,51,,False,0.5
E,119.4117647058821,3.0,<music21.duration.Duration 0.5>,51,,False,0.5
C#,119.70588235294093,3.5,<music21.duration.Duration 0.5>,51,,False,0.5
E,119.99999999999976,0.0,<music21.duration.Duration 0.5>,52,,False,0.5
E,120.29411764705858,0.5,<music21.duration.Duration 0.5>,52,<music21.tie.Tie start>,False,0.5
E,121.17647058823505,2.0,<music21.duration.Duration 0.75>,52,,False,0.75
F#,121.61764705882328,2.75,<music21.duration.Duration 0.25>,52,<music21.tie.Tie start>,False,0.25
